Column1,Column2
Zanieczyszczenie,Bia³ystok-Warszawska - py³ zawieszony PM2.5
2015-01-01,
2015-01-02," 	21.2	"
2015-01-03," 	6.7	"
2015-01-04," 	6.6	"
2015-01-05," 	6.9	"
2015-01-06," 	23.2	"
2015-01-07," 	26.4	"
2015-01-08,
2015-01-09," 	14.6	"
2015-01-10," 	8.2	"
2015-01-11," 	6.6	"
2015-01-12," 	5.1	"
2015-01-13," 	11.8	"
2015-01-14," 	21.1	"
2015-01-15," 	34.5	"
2015-01-16," 	25.0	"
2015-01-17," 	27.8	"
2015-01-18," 	71.7	"
2015-01-19," 	25.9	"
2015-01-20," 	15.6	"
2015-01-21," 	22.4	"
2015-01-22," 	18.7	"
2015-01-23," 	14.7	"
2015-01-24," 	15.4	"
2015-01-25," 	14.5	"
2015-01-26," 	28.8	"
2015-01-27," 	37.0	"
2015-01-28," 	22.9	"
2015-01-29," 	22.8	"
2015-01-30," 	20.8	"
2015-01-31," 	18.6	"
2015-02-01," 	23.9	"
2015-02-02," 	77.7	"
2015-02-03," 	105.3	"
2015-02-04," 	73.2	"
2015-02-05," 	42.3	"
2015-02-06," 	27.6	"
2015-02-07," 	24.4	"
2015-02-08," 	6.6	"
2015-02-09," 	25.4	"
2015-02-10," 	30.8	"
2015-02-11," 	17.1	"
2015-02-12," 	30.6	"
2015-02-13," 	61.4	"
2015-02-14," 	56.2	"
2015-02-15," 	28.2	"
2015-02-16," 	8.0	"
2015-02-17," 	16.3	"
2015-02-18," 	50.4	"
2015-02-19," 	38.0	"
2015-02-20," 	73.1	"
2015-02-21," 	59.3	"
2015-02-22," 	76.4	"
2015-02-23," 	51.2	"
2015-02-24," 	74.7	"
2015-02-25," 	43.9	"
2015-02-26," 	29.1	"
2015-02-27," 	34.9	"
2015-02-28," 	64.9	"
2015-03-01," 	48.8	"
2015-03-02," 	20.2	"
2015-03-03," 	15.6	"
2015-03-04," 	16.7	"
2015-03-05," 	19.4	"
2015-03-06," 	14.6	"
2015-03-07," 	37.3	"
2015-03-08," 	37.3	"
2015-03-09," 	49.8	"
2015-03-10," 	106.5	"
2015-03-11," 	50.9	"
2015-03-12," 	13.9	"
2015-03-13," 	12.3	"
2015-03-14," 	14.3	"
2015-03-15," 	20.3	"
2015-03-16," 	17.9	"
2015-03-17," 	21.8	"
2015-03-18," 	37.9	"
2015-03-19," 	74.9	"
2015-03-20," 	66.4	"
2015-03-21," 	47.0	"
2015-03-22," 	15.5	"
2015-03-23," 	24.2	"
2015-03-24," 	79.5	"
2015-03-25," 	64.9	"
2015-03-26," 	45.7	"
2015-03-27," 	33.2	"
2015-03-28," 	9.8	"
2015-03-29," 	11.3	"
2015-03-30," 	9.2	"
2015-03-31," 	7.0	"
2015-04-01," 	3.4	"
2015-04-02," 	18.3	"
2015-04-03," 	8.8	"
2015-04-04," 	6.4	"
2015-04-05," 	6.9	"
2015-04-06," 	9.8	"
2015-04-07," 	14.5	"
2015-04-08," 	7.4	"
2015-04-09," 	23.4	"
2015-04-10," 	14.6	"
2015-04-11," 	49.4	"
2015-04-12," 	18.6	"
2015-04-13," 	10.1	"
2015-04-14," 	7.1	"
2015-04-15," 	13.3	"
2015-04-16," 	9.3	"
2015-04-17," 	8.8	"
2015-04-18," 	8.8	"
2015-04-19," 	7.8	"
2015-04-20," 	7.5	"
2015-04-21," 	16.6	"
2015-04-22," 	21.2	"
2015-04-23," 	20.2	"
2015-04-24," 	16.5	"
2015-04-25," 	28.6	"
2015-04-26," 	19.6	"
2015-04-27," 	16.3	"
2015-04-28," 	17.4	"
2015-04-29," 	8.4	"
2015-04-30," 	17.5	"
2015-05-01," 	13.8	"
2015-05-02," 	8.5	"
2015-05-03," 	11.4	"
2015-05-04," 	15.5	"
2015-05-05," 	16.1	"
2015-05-06,
2015-05-07," 	11.1	"
2015-05-08," 	9.9	"
2015-05-09," 	11.5	"
2015-05-10," 	10.6	"
2015-05-11," 	9.8	"
2015-05-12," 	13.2	"
2015-05-13," 	7.6	"
2015-05-14," 	8.2	"
2015-05-15," 	7.5	"
2015-05-16," 	9.1	"
2015-05-17," 	7.9	"
2015-05-18," 	12.2	"
2015-05-19," 	18.9	"
2015-05-20," 	13.7	"
2015-05-21," 	7.3	"
2015-05-22," 	12.7	"
2015-05-23," 	16.2	"
2015-05-24," 	20.0	"
2015-05-25," 	18.3	"
2015-05-26," 	13.6	"
2015-05-27," 	5.2	"
2015-05-28," 	9.4	"
2015-05-29," 	14.6	"
2015-05-30," 	15.2	"
2015-05-31," 	10.0	"
2015-06-01," 	15.2	"
2015-06-02," 	15.8	"
2015-06-03," 	12.8	"
2015-06-04," 	5.3	"
2015-06-05," 	9.5	"
2015-06-06," 	12.5	"
2015-06-07," 	14.1	"
2015-06-08," 	8.1	"
2015-06-09," 	7.8	"
2015-06-10," 	7.4	"
2015-06-11," 	11.0	"
2015-06-12," 	14.3	"
2015-06-13," 	20.4	"
2015-06-14," 	20.1	"
2015-06-15," 	11.6	"
2015-06-16," 	4.9	"
2015-06-17," 	7.7	"
2015-06-18," 	12.7	"
2015-06-19," 	11.3	"
2015-06-20," 	7.2	"
2015-06-21," 	8.1	"
2015-06-22," 	10.4	"
2015-06-23," 	9.7	"
2015-06-24," 	10.0	"
2015-06-25," 	12.0	"
2015-06-26," 	13.6	"
2015-06-27," 	10.4	"
2015-06-28," 	10.8	"
2015-06-29," 	11.5	"
2015-06-30," 	9.8	"
2015-07-01," 	6.6	"
2015-07-02," 	8.3	"
2015-07-03," 	12.3	"
2015-07-04," 	15.0	"
2015-07-05," 	20.6	"
2015-07-06," 	18.9	"
2015-07-07," 	10.1	"
2015-07-08," 	16.8	"
2015-07-09," 	8.7	"
2015-07-10," 	6.4	"
2015-07-11," 	4.3	"
2015-07-12," 	4.8	"
2015-07-13," 	10.4	"
2015-07-14," 	12.0	"
2015-07-15," 	17.3	"
2015-07-16," 	13.7	"
2015-07-17," 	14.0	"
2015-07-18," 	10.6	"
2015-07-19," 	8.8	"
2015-07-20," 	8.9	"
2015-07-21," 	9.7	"
2015-07-22," 	11.4	"
2015-07-23," 	10.0	"
2015-07-24," 	9.6	"
2015-07-25," 	13.1	"
2015-07-26," 	9.0	"
2015-07-27," 	8.6	"
2015-07-28," 	10.0	"
2015-07-29," 	6.8	"
2015-07-30," 	8.0	"
2015-07-31," 	7.6	"
2015-08-01," 	10.1	"
2015-08-02," 	13.2	"
2015-08-03," 	20.1	"
2015-08-04," 	25.5	"
2015-08-05," 	32.2	"
2015-08-06," 	31.9	"
2015-08-07," 	32.8	"
2015-08-08," 	25.4	"
2015-08-09," 	22.0	"
2015-08-10," 	14.8	"
2015-08-11," 	24.9	"
2015-08-12," 	39.9	"
2015-08-13," 	14.8	"
2015-08-14," 	11.9	"
2015-08-15,
2015-08-16,
2015-08-17," 	16.9	"
2015-08-18," 	10.8	"
2015-08-19," 	15.7	"
2015-08-20,
2015-08-21," 	23.1	"
2015-08-22," 	22.1	"
2015-08-23,
2015-08-24,
2015-08-25," 	27.0	"
2015-08-26," 	10.0	"
2015-08-27," 	15.9	"
2015-08-28," 	20.2	"
2015-08-29," 	6.6	"
2015-08-30," 	14.1	"
2015-08-31," 	17.2	"
2015-09-01," 	41.8	"
2015-09-02," 	22.2	"
2015-09-03," 	15.5	"
2015-09-04," 	13.6	"
2015-09-05," 	13.2	"
2015-09-06," 	8.9	"
2015-09-07," 	4.2	"
2015-09-08," 	5.3	"
2015-09-09," 	8.5	"
2015-09-10," 	9.1	"
2015-09-11," 	8.9	"
2015-09-12," 	11.2	"
