Column1,Column2
Zanieczyszczenie,Gorz�w Wlkp. ul. Pi�sudskiego - py� zawieszony PM2.5
2015-01-01," 	18.8	"
2015-01-02," 	7.9	"
2015-01-03," 	6.4	"
2015-01-04," 	5.3	"
2015-01-05," 	8.6	"
2015-01-06," 	15.4	"
2015-01-07," 	24.5	"
2015-01-08," 	11.8	"
2015-01-09," 	3.9	"
2015-01-10," 	3.3	"
2015-01-11," 	3.9	"
2015-01-12," 	6.1	"
2015-01-13," 	6.6	"
2015-01-14," 	7.2	"
2015-01-15," 	6.1	"
2015-01-16," 	15.5	"
2015-01-17," 	14.9	"
2015-01-18," 	16.7	"
2015-01-19," 	15.8	"
2015-01-20," 	17.9	"
2015-01-21," 	21.4	"
2015-01-22," 	15.8	"
2015-01-23," 	13.3	"
2015-01-24," 	16.1	"
2015-01-25," 	23.0	"
2015-01-26," 	9.1	"
2015-01-27," 	6.0	"
2015-01-28," 	6.6	"
2015-01-29," 	5.8	"
2015-01-30," 	12.6	"
2015-01-31,
2015-02-01,
2015-02-02,
2015-02-03," 	10.4	"
2015-02-04,
2015-02-05," 	19.4	"
2015-02-06,
2015-02-07,
2015-02-08," 	4.4	"
2015-02-09," 	4.7	"
2015-02-10," 	6.5	"
2015-02-11," 	8.2	"
2015-02-12," 	17.2	"
2015-02-13," 	34.3	"
2015-02-14," 	51.2	"
2015-02-15," 	59.5	"
2015-02-16," 	30.7	"
2015-02-17," 	34.2	"
2015-02-18," 	46.7	"
2015-02-19," 	37.4	"
2015-02-20," 	38.1	"
2015-02-21," 	23.1	"
2015-02-22," 	23.1	"
2015-02-23," 	24.6	"
2015-02-24," 	24.7	"
2015-02-25," 	46.5	"
2015-02-26," 	62.9	"
2015-02-27," 	63.9	"
2015-02-28," 	41.5	"
2015-03-01," 	25.6	"
2015-03-02," 	11.9	"
2015-03-03," 	14.4	"
2015-03-04," 	15.5	"
2015-03-05," 	18.7	"
2015-03-06," 	31.6	"
2015-03-07," 	29.8	"
2015-03-08," 	23.8	"
2015-03-09," 	25.7	"
2015-03-10," 	35.2	"
2015-03-11," 	20.5	"
2015-03-12," 	10.9	"
2015-03-13," 	16.6	"
2015-03-14," 	26.2	"
2015-03-15," 	22.6	"
2015-03-16," 	32.2	"
2015-03-17," 	31.7	"
2015-03-18," 	28.9	"
2015-03-19," 	55.4	"
2015-03-20," 	75.6	"
