Column1,Column2
Zanieczyszczenie,Katowice ul. Kossutha 6 - pył zawieszony PM2.5
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09," 	9.0	"
2015-01-10," 	12.0	"
2015-01-11," 	11.0	"
2015-01-12,
2015-01-13," 	14.0	"
2015-01-14," 	24.0	"
2015-01-15," 	11.0	"
2015-01-16," 	30.0	"
2015-01-17," 	39.0	"
2015-01-18," 	41.0	"
2015-01-19," 	26.0	"
2015-01-20," 	36.0	"
2015-01-21," 	80.0	"
2015-01-22," 	43.0	"
2015-01-23," 	27.0	"
2015-01-24," 	35.0	"
2015-01-25," 	48.0	"
2015-01-26," 	30.0	"
2015-01-27," 	47.0	"
2015-01-28," 	32.0	"
2015-01-29," 	23.0	"
2015-01-30," 	44.0	"
2015-01-31," 	20.0	"
2015-02-01," 	37.0	"
2015-02-02," 	97.0	"
2015-02-03," 	36.0	"
2015-02-04," 	65.0	"
2015-02-05," 	71.0	"
2015-02-06," 	31.0	"
2015-02-07," 	46.0	"
2015-02-08," 	18.0	"
2015-02-09," 	29.0	"
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13," 	44.0	"
2015-02-14," 	118.0	"
2015-02-15," 	165.0	"
2015-02-16," 	26.0	"
2015-02-17," 	49.0	"
2015-02-18," 	66.0	"
2015-02-19," 	63.0	"
2015-02-20," 	41.0	"
2015-02-21," 	58.0	"
2015-02-22," 	74.0	"
2015-02-23," 	57.0	"
2015-02-24," 	44.0	"
2015-02-25," 	38.0	"
2015-02-26," 	39.1	"
2015-02-27," 	10.6	"
2015-02-28," 	83.4	"
2015-03-01," 	43.7	"
2015-03-02," 	11.2	"
2015-03-03," 	23.4	"
2015-03-04," 	26.1	"
2015-03-05," 	52.7	"
2015-03-06," 	42.6	"
2015-03-07," 	77.3	"
2015-03-08," 	48.2	"
2015-03-09," 	33.6	"
2015-03-10," 	35.2	"
2015-03-11," 	61.6	"
2015-03-12," 	17.3	"
2015-03-13," 	18.1	"
2015-03-14," 	26.7	"
2015-03-15," 	26.3	"
2015-03-16," 	22.9	"
2015-03-17," 	26.0	"
2015-03-18," 	28.7	"
2015-03-19," 	54.4	"
2015-03-20," 	65.7	"
2015-03-21," 	52.0	"
2015-03-22," 	29.1	"
2015-03-23," 	58.8	"
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27," 	35.0	"
2015-03-28," 	21.0	"
2015-03-29," 	29.0	"
2015-03-30," 	6.0	"
2015-03-31," 	11.0	"
2015-04-01," 	9.0	"
2015-04-02," 	11.0	"
2015-04-03," 	10.0	"
2015-04-04," 	17.0	"
2015-04-05," 	29.0	"
2015-04-06," 	26.0	"
2015-04-07," 	24.0	"
2015-04-08," 	20.0	"
2015-04-09," 	21.9	"
2015-04-10," 	35.9	"
2015-04-11," 	36.9	"
2015-04-12," 	23.5	"
2015-04-13," 	23.3	"
2015-04-14," 	23.5	"
2015-04-15," 	28.3	"
2015-04-16," 	26.9	"
2015-04-17," 	14.2	"
2015-04-18," 	16.8	"
2015-04-19," 	17.0	"
2015-04-20," 	31.7	"
2015-04-21," 	24.3	"
2015-04-22," 	25.7	"
2015-04-23," 	38.4	"
2015-04-24," 	40.4	"
2015-04-25," 	18.4	"
2015-04-26," 	11.0	"
2015-04-27," 	17.2	"
2015-04-28," 	20.0	"
2015-04-29," 	14.6	"
2015-04-30," 	22.6	"
2015-05-01," 	22.9	"
2015-05-02," 	17.4	"
2015-05-03," 	29.1	"
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07," 	12.7	"
2015-05-08," 	12.4	"
2015-05-09," 	14.3	"
2015-05-10," 	10.2	"
2015-05-11," 	9.1	"
2015-05-12," 	20.9	"
2015-05-13," 	18.9	"
2015-05-14," 	25.8	"
2015-05-15," 	16.6	"
2015-05-16," 	26.1	"
2015-05-17," 	16.7	"
2015-05-18," 	19.5	"
2015-05-19," 	24.6	"
2015-05-20," 	18.6	"
2015-05-21," 	11.1	"
2015-05-22," 	14.3	"
2015-05-23," 	14.6	"
2015-05-24," 	13.4	"
2015-05-25," 	21.3	"
2015-05-26," 	24.0	"
2015-05-27," 	14.7	"
2015-05-28," 	18.2	"
2015-05-29," 	21.3	"
2015-05-30," 	19.9	"
2015-05-31," 	12.1	"
2015-06-01," 	16.7	"
2015-06-02," 	23.5	"
2015-06-03," 	19.3	"
2015-06-04," 	12.3	"
2015-06-05,
2015-06-06," 	18.0	"
2015-06-07," 	24.1	"
2015-06-08," 	11.9	"
2015-06-09," 	10.2	"
2015-06-10," 	10.6	"
2015-06-11," 	17.4	"
2015-06-12," 	18.8	"
2015-06-13," 	26.0	"
2015-06-14," 	10.9	"
2015-06-15," 	15.1	"
2015-06-16," 	10.8	"
2015-06-17," 	11.1	"
2015-06-18," 	12.3	"
2015-06-19," 	12.2	"
2015-06-20," 	13.0	"
2015-06-21," 	9.2	"
2015-06-22," 	10.1	"
2015-06-23," 	9.5	"
2015-06-24," 	9.6	"
2015-06-25," 	15.6	"
2015-06-26," 	21.8	"
2015-06-27," 	23.3	"
2015-06-28," 	14.4	"
2015-06-29," 	9.7	"
2015-06-30," 	22.6	"
2015-07-01," 	15.1	"
2015-07-02,
2015-07-03," 	10.2	"
2015-07-04," 	18.6	"
2015-07-05," 	23.8	"
2015-07-06," 	27.3	"
2015-07-07," 	20.1	"
2015-07-08," 	17.8	"
2015-07-09," 	8.5	"
2015-07-10," 	9.1	"
2015-07-11," 	10.3	"
2015-07-12," 	12.3	"
2015-07-13," 	8.5	"
2015-07-14," 	11.1	"
2015-07-15," 	11.2	"
2015-07-16," 	12.8	"
2015-07-17," 	20.1	"
2015-07-18," 	19.1	"
2015-07-19," 	21.5	"
2015-07-20," 	6.9	"
2015-07-21," 	8.7	"
2015-07-22," 	12.8	"
2015-07-23," 	18.3	"
2015-07-24," 	16.9	"
2015-07-25," 	21.5	"
2015-07-26," 	5.3	"
2015-07-27," 	5.9	"
2015-07-28," 	6.3	"
2015-07-29," 	10.4	"
2015-07-30," 	10.0	"
2015-07-31," 	11.0	"
2015-08-01," 	11.4	"
2015-08-02," 	13.5	"
2015-08-03," 	17.4	"
2015-08-04," 	18.9	"
2015-08-05," 	23.8	"
2015-08-06," 	27.8	"
2015-08-07," 	28.4	"
2015-08-08," 	22.1	"
2015-08-09," 	26.5	"
2015-08-10," 	32.4	"
2015-08-11," 	29.4	"
2015-08-12," 	39.2	"
2015-08-13," 	19.6	"
2015-08-14," 	31.7	"
2015-08-15," 	21.7	"
2015-08-16," 	24.2	"
2015-08-17," 	28.8	"
2015-08-18," 	26.2	"
2015-08-19," 	24.6	"
2015-08-20," 	18.3	"
2015-08-21," 	11.9	"
2015-08-22," 	22.7	"
2015-08-23," 	13.9	"
2015-08-24," 	12.4	"
2015-08-25," 	11.7	"
2015-08-26," 	15.0	"
2015-08-27," 	8.4	"
2015-08-28," 	18.8	"
2015-08-29," 	15.6	"
2015-08-30," 	18.9	"
2015-08-31," 	17.5	"
2015-09-01," 	17.5	"
2015-09-02," 	9.2	"
2015-09-03," 	10.7	"
2015-09-04," 	10.7	"
2015-09-05," 	15.8	"
2015-09-06," 	8.9	"
2015-09-07," 	9.5	"
2015-09-08,
2015-09-09,
2015-09-10," 	16.3	"
