Column1,Column2
Zanieczyszczenie,£Ûdü-Widzew - py≥ zawieszony PM2.5
2015-01-01,
2015-01-02," 	22.0	"
2015-01-03," 	10.7	"
2015-01-04," 	10.0	"
2015-01-05," 	12.7	"
2015-01-06," 	16.7	"
2015-01-07," 	31.3	"
2015-01-08," 	34.0	"
2015-01-09," 	12.2	"
2015-01-10," 	12.5	"
2015-01-11," 	8.7	"
2015-01-12," 	11.1	"
2015-01-13," 	10.0	"
2015-01-14," 	17.6	"
2015-01-15," 	22.4	"
2015-01-16," 	30.9	"
2015-01-17," 	37.8	"
2015-01-18," 	43.6	"
2015-01-19," 	31.3	"
2015-01-20," 	19.5	"
2015-01-21," 	55.0	"
2015-01-22," 	40.2	"
2015-01-23," 	24.7	"
2015-01-24," 	30.5	"
2015-01-25," 	42.7	"
2015-01-26," 	31.8	"
2015-01-27," 	33.3	"
2015-01-28," 	21.8	"
2015-01-29," 	22.5	"
2015-01-30," 	23.5	"
2015-01-31," 	23.5	"
2015-02-01," 	26.9	"
2015-02-02," 	56.0	"
2015-02-03," 	45.6	"
2015-02-04," 	43.8	"
2015-02-05," 	47.5	"
2015-02-06," 	43.8	"
2015-02-07," 	36.7	"
2015-02-08," 	9.8	"
2015-02-09," 	18.4	"
2015-02-10," 	22.2	"
2015-02-11," 	25.5	"
2015-02-12," 	34.7	"
2015-02-13," 	47.5	"
2015-02-14," 	61.0	"
2015-02-15," 	64.0	"
2015-02-16," 	17.6	"
2015-02-17," 	17.3	"
2015-02-18," 	62.0	"
2015-02-19," 	59.0	"
2015-02-20," 	64.0	"
2015-02-21," 	48.9	"
2015-02-22," 	76.0	"
2015-02-23," 	56.0	"
2015-02-24," 	31.1	"
2015-02-25," 	64.0	"
2015-02-26," 	43.3	"
2015-02-27," 	49.3	"
2015-02-28," 	63.0	"
2015-03-01," 	46.2	"
2015-03-02," 	17.1	"
2015-03-03," 	22.2	"
2015-03-04," 	21.8	"
2015-03-05," 	26.9	"
2015-03-06," 	28.5	"
2015-03-07," 	41.1	"
2015-03-08," 	37.1	"
2015-03-09," 	34.7	"
2015-03-10," 	78.0	"
2015-03-11," 	35.3	"
2015-03-12," 	17.3	"
2015-03-13," 	14.5	"
2015-03-14," 	15.8	"
2015-03-15," 	19.5	"
2015-03-16," 	22.4	"
2015-03-17," 	24.0	"
2015-03-18," 	35.6	"
2015-03-19," 	45.5	"
2015-03-20," 	51.0	"
2015-03-21," 	56.0	"
2015-03-22," 	9.1	"
2015-03-23," 	24.0	"
2015-03-24," 	38.7	"
2015-03-25," 	46.2	"
2015-03-26," 	37.5	"
2015-03-27," 	43.6	"
2015-03-28," 	38.0	"
2015-03-29," 	32.7	"
2015-03-30," 	9.3	"
2015-03-31," 	9.3	"
2015-04-01," 	5.5	"
2015-04-02," 	11.1	"
2015-04-03," 	13.7	"
2015-04-04," 	14.5	"
2015-04-05," 	13.7	"
2015-04-06," 	12.8	"
2015-04-07," 	17.5	"
2015-04-08," 	16.1	"
2015-04-09," 	11.3	"
2015-04-10," 	32.8	"
2015-04-11," 	38.5	"
2015-04-12," 	15.2	"
2015-04-13," 	19.6	"
2015-04-14," 	11.9	"
2015-04-15," 	19.1	"
2015-04-16," 	11.9	"
2015-04-17," 	13.2	"
2015-04-18," 	8.8	"
2015-04-19," 	15.0	"
2015-04-20," 	17.7	"
2015-04-21," 	10.5	"
2015-04-22," 	18.9	"
2015-04-23," 	27.1	"
2015-04-24," 	26.9	"
2015-04-25," 	26.7	"
2015-04-26," 	16.6	"
2015-04-27," 	15.1	"
2015-04-28," 	18.1	"
2015-04-29," 	16.9	"
2015-04-30," 	20.4	"
2015-05-01," 	23.0	"
2015-05-02," 	17.0	"
2015-05-03," 	17.0	"
2015-05-04," 	18.0	"
2015-05-05," 	17.0	"
2015-05-06," 	15.0	"
2015-05-07," 	10.0	"
2015-05-08," 	10.0	"
2015-05-09," 	13.0	"
2015-05-10," 	12.0	"
2015-05-11," 	6.0	"
2015-05-12," 	11.0	"
2015-05-13," 	9.0	"
2015-05-14," 	12.0	"
2015-05-15," 	9.0	"
2015-05-16," 	12.0	"
2015-05-17," 	10.0	"
2015-05-18," 	14.0	"
2015-05-19," 	16.0	"
2015-05-20," 	20.0	"
2015-05-21," 	10.0	"
2015-05-22," 	10.0	"
2015-05-23," 	11.0	"
2015-05-24," 	14.0	"
2015-05-25," 	15.0	"
2015-05-26," 	16.0	"
2015-05-27," 	6.0	"
2015-05-28," 	8.0	"
2015-05-29," 	15.0	"
2015-05-30," 	12.0	"
2015-05-31," 	8.0	"
2015-06-01," 	11.0	"
2015-06-02," 	10.0	"
2015-06-03," 	11.0	"
2015-06-04," 	8.0	"
2015-06-05," 	10.0	"
2015-06-06," 	12.0	"
2015-06-07," 	15.0	"
2015-06-08," 	10.0	"
2015-06-09," 	9.0	"
2015-06-10," 	10.0	"
2015-06-11," 	13.0	"
2015-06-12," 	17.0	"
2015-06-13," 	16.0	"
2015-06-14," 	15.0	"
2015-06-15," 	11.0	"
2015-06-16," 	7.0	"
2015-06-17," 	10.0	"
2015-06-18," 	18.0	"
2015-06-19," 	3.0	"
2015-06-20," 	4.0	"
2015-06-21," 	7.0	"
2015-06-22," 	10.0	"
2015-06-23," 	7.0	"
2015-06-24," 	9.0	"
2015-06-25," 	10.0	"
2015-06-26," 	20.0	"
2015-06-27," 	19.0	"
2015-06-28," 	20.0	"
2015-06-29," 	12.0	"
2015-06-30," 	14.0	"
2015-07-01," 	11.0	"
2015-07-02," 	10.0	"
2015-07-03," 	15.0	"
2015-07-04," 	13.0	"
2015-07-05," 	18.0	"
2015-07-06," 	18.0	"
2015-07-07," 	12.0	"
2015-07-08," 	11.0	"
2015-07-09," 	8.0	"
2015-07-10," 	5.0	"
2015-07-11," 	7.0	"
2015-07-12," 	9.0	"
2015-07-13," 	10.0	"
2015-07-14," 	10.0	"
2015-07-15," 	10.0	"
2015-07-16," 	12.0	"
2015-07-17," 	16.0	"
2015-07-18," 	16.0	"
2015-07-19," 	17.0	"
2015-07-20," 	8.0	"
2015-07-21," 	10.0	"
2015-07-22," 	12.0	"
2015-07-23," 	13.0	"
2015-07-24," 	12.0	"
2015-07-25," 	17.0	"
2015-07-26," 	6.0	"
2015-07-27," 	9.0	"
2015-07-28," 	6.0	"
2015-07-29," 	10.0	"
2015-07-30," 	7.0	"
2015-07-31," 	8.0	"
2015-08-01," 	9.0	"
2015-08-02," 	15.0	"
2015-08-03," 	19.0	"
2015-08-04," 	18.0	"
2015-08-05," 	24.0	"
2015-08-06," 	16.0	"
2015-08-07," 	24.0	"
2015-08-08," 	22.0	"
2015-08-09," 	20.0	"
2015-08-10," 	13.0	"
2015-08-11," 	19.0	"
2015-08-12," 	17.0	"
2015-08-13," 	13.0	"
2015-08-14," 	12.0	"
2015-08-15," 	20.0	"
2015-08-16," 	18.0	"
2015-08-17," 	20.0	"
2015-08-18," 	18.0	"
2015-08-19," 	20.0	"
2015-08-20," 	18.0	"
2015-08-21," 	21.0	"
2015-08-22," 	14.0	"
2015-08-23," 	16.0	"
2015-08-24," 	17.0	"
2015-08-25," 	10.0	"
2015-08-26," 	10.0	"
2015-08-27," 	15.0	"
2015-08-28," 	19.0	"
2015-08-29," 	8.0	"
2015-08-30," 	11.0	"
2015-08-31," 	23.0	"
2015-09-01," 	28.0	"
2015-09-02," 	9.0	"
2015-09-03," 	13.0	"
2015-09-04," 	15.0	"
2015-09-05," 	9.0	"
2015-09-06," 	5.0	"
2015-09-07," 	5.0	"
2015-09-08," 	4.0	"
2015-09-09," 	10.0	"
2015-09-10," 	9.0	"
2015-09-11," 	15.0	"
2015-09-12," 	21.0	"
2015-09-13," 	17.0	"
2015-09-14," 	17.0	"
2015-09-15," 	12.0	"
2015-09-16," 	13.0	"
2015-09-17," 	25.0	"
2015-09-18," 	10.0	"
2015-09-19," 	18.0	"
2015-09-20," 	13.0	"
2015-09-21," 	12.0	"
2015-09-22," 	17.0	"
2015-09-23," 	22.0	"
2015-09-24," 	19.0	"
2015-09-25," 	16.0	"
2015-09-26," 	10.0	"
2015-09-27," 	13.0	"
2015-09-28," 	20.0	"
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02," 	34.0	"
2015-10-03," 	27.0	"
2015-10-04," 	23.0	"
2015-10-05," 	38.0	"
2015-10-06," 	38.0	"
2015-10-07," 	15.0	"
2015-10-08," 	19.0	"
2015-10-09," 	19.0	"
2015-10-10," 	19.0	"
2015-10-11," 	21.0	"
2015-10-12," 	17.0	"
2015-10-13," 	32.0	"
2015-10-14," 	45.0	"
2015-10-15," 	39.0	"
2015-10-16," 	34.0	"
2015-10-17," 	34.0	"
2015-10-18," 	29.0	"
2015-10-19," 	43.0	"
2015-10-20," 	49.0	"
2015-10-21," 	44.0	"
2015-10-22," 	23.0	"
2015-10-23," 	18.0	"
2015-10-24," 	24.0	"
2015-10-25," 	29.0	"
2015-10-26," 	29.0	"
2015-10-27," 	44.0	"
2015-10-28," 	43.0	"
2015-10-29," 	40.0	"
2015-10-30," 	32.0	"
2015-10-31," 	44.0	"
2015-11-01," 	68.0	"
2015-11-02," 	70.0	"
2015-11-03," 	46.0	"
2015-11-04," 	45.0	"
2015-11-05," 	31.0	"
2015-11-06," 	58.0	"
2015-11-07," 	67.0	"
2015-11-08," 	11.0	"
2015-11-09," 	23.0	"
2015-11-10," 	11.0	"
2015-11-11," 	12.0	"
2015-11-12," 	19.0	"
2015-11-13," 	28.0	"
2015-11-14," 	13.0	"
2015-11-15," 	12.0	"
2015-11-16," 	20.0	"
2015-11-17," 	21.0	"
2015-11-18," 	8.0	"
2015-11-19," 	12.0	"
2015-11-20," 	13.0	"
2015-11-21," 	22.0	"
2015-11-22," 	27.0	"
2015-11-23," 	36.0	"
2015-11-24," 	34.0	"
2015-11-25," 	46.0	"
2015-11-26," 	65.0	"
2015-11-27," 	54.0	"
2015-11-28," 	58.0	"
2015-11-29," 	17.0	"
2015-11-30," 	10.0	"
2015-12-01," 	8.0	"
2015-12-02," 	19.0	"
2015-12-03," 	20.0	"
2015-12-04," 	15.0	"
2015-12-05," 	38.0	"
2015-12-06," 	24.0	"
2015-12-07," 	20.0	"
2015-12-08," 	23.0	"
2015-12-09," 	30.0	"
2015-12-10," 	13.0	"
2015-12-11," 	10.0	"
2015-12-12," 	19.0	"
2015-12-13," 	19.0	"
2015-12-14," 	14.0	"
2015-12-15," 	26.0	"
2015-12-16," 	31.0	"
2015-12-17," 	30.0	"
2015-12-18," 	24.0	"
2015-12-19," 	27.0	"
2015-12-20," 	21.0	"
2015-12-21," 	14.0	"
2015-12-22," 	11.0	"
2015-12-23," 	10.0	"
2015-12-24," 	27.0	"
2015-12-25," 	13.0	"
2015-12-26," 	12.0	"
2015-12-27," 	16.0	"
2015-12-28," 	12.0	"
2015-12-29," 	13.0	"
2015-12-30," 	24.0	"
2015-12-31," 	24.0	"
2016-01-01," 	23.0	"
2016-01-02," 	20.0	"
2016-01-03," 	34.0	"
2016-01-04," 	44.0	"
2016-01-05," 	74.0	"
2016-01-06," 	94.0	"
2016-01-07," 	68.0	"
2016-01-08," 	44.0	"
2016-01-09," 	31.0	"
2016-01-10," 	50.0	"
2016-01-11," 	46.0	"
2016-01-12," 	51.0	"
2016-01-13," 	25.0	"
2016-01-14," 	24.0	"
2016-01-15," 	58.0	"
2016-01-16," 	29.0	"
2016-01-17," 	45.0	"
2016-01-18," 	57.0	"
2016-01-19," 	73.0	"
2016-01-20," 	74.0	"
2016-01-21," 	26.0	"
2016-01-22," 	39.0	"
2016-01-23," 	81.0	"
