Column1,Column2
Zanieczyszczenie,Rzeszów-Nowe Miasto - py³ zawieszony PM2.5
2015-01-01," 	35.8	"
2015-01-02," 	42.8	"
2015-01-03," 	14.9	"
2015-01-04," 	9.3	"
2015-01-05," 	11.2	"
2015-01-06," 	65.0	"
2015-01-07," 	52.6	"
2015-01-08," 	17.1	"
2015-01-09," 	20.4	"
2015-01-10," 	12.7	"
2015-01-11," 	9.3	"
2015-01-12," 	9.6	"
2015-01-13," 	16.8	"
2015-01-14," 	17.0	"
2015-01-15," 	18.9	"
2015-01-16," 	13.3	"
2015-01-17," 	18.8	"
2015-01-18," 	37.6	"
2015-01-19," 	19.8	"
2015-01-20," 	21.2	"
2015-01-21," 	34.6	"
2015-01-22," 	31.0	"
2015-01-23," 	33.4	"
2015-01-24," 	18.6	"
2015-01-25," 	23.1	"
2015-01-26," 	48.3	"
2015-01-27," 	31.5	"
2015-01-28," 	26.1	"
2015-01-29," 	11.7	"
2015-01-30," 	14.5	"
2015-01-31," 	25.3	"
2015-02-01," 	62.9	"
2015-02-02," 	100.0	"
2015-02-03," 	58.1	"
2015-02-04," 	46.2	"
2015-02-05," 	63.2	"
2015-02-06," 	23.6	"
2015-02-07," 	29.6	"
2015-02-08," 	13.4	"
2015-02-09," 	22.7	"
2015-02-10," 	32.0	"
2015-02-11," 	25.0	"
2015-02-12," 	23.4	"
2015-02-13," 	37.2	"
2015-02-14," 	48.1	"
2015-02-15," 	65.1	"
2015-02-16," 	15.2	"
2015-02-17," 	14.7	"
2015-02-18," 	47.8	"
2015-02-19," 	45.7	"
2015-02-20," 	45.7	"
2015-02-21," 	39.0	"
2015-02-22," 	45.5	"
2015-02-23," 	58.6	"
2015-02-24,
2015-02-25,
2015-02-26,
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03," 	25.6	"
2015-03-04," 	21.7	"
2015-03-05," 	35.2	"
2015-03-06," 	46.9	"
2015-03-07," 	69.6	"
2015-03-08," 	37.8	"
2015-03-09," 	50.4	"
2015-03-10," 	89.6	"
2015-03-11," 	83.1	"
2015-03-12," 	19.3	"
2015-03-13," 	15.7	"
2015-03-14," 	21.4	"
2015-03-15," 	30.1	"
2015-03-16," 	25.9	"
2015-03-17," 	30.5	"
2015-03-18," 	43.0	"
2015-03-19," 	68.4	"
2015-03-20," 	72.1	"
2015-03-21," 	45.4	"
