Column1,Column2
Zanieczyszczenie,Szczecin_Andrzejewskiego - py³ zawieszony PM2.5
2015-01-01," 	30.9	"
2015-01-02," 	7.6	"
2015-01-03," 	7.8	"
2015-01-04," 	6.8	"
2015-01-05," 	14.7	"
2015-01-06," 	22.8	"
2015-01-07," 	18.9	"
2015-01-08," 	12.7	"
2015-01-09," 	7.3	"
2015-01-10," 	5.6	"
2015-01-11," 	4.6	"
2015-01-12," 	5.2	"
2015-01-13," 	4.9	"
2015-01-14," 	4.2	"
2015-01-15," 	5.6	"
2015-01-16," 	6.8	"
2015-01-17," 	11.7	"
2015-01-18," 	22.6	"
2015-01-19," 	29.7	"
2015-01-20," 	32.8	"
2015-01-21," 	40.4	"
2015-01-22," 	29.9	"
2015-01-23," 	29.4	"
2015-01-24," 	20.6	"
2015-01-25," 	15.0	"
2015-01-26," 	7.8	"
2015-01-27," 	6.2	"
2015-01-28," 	6.6	"
2015-01-29," 	4.9	"
2015-01-30," 	16.2	"
2015-01-31," 	9.3	"
2015-02-01," 	15.4	"
2015-02-02," 	9.5	"
2015-02-03," 	8.1	"
2015-02-04," 	13.4	"
2015-02-05," 	33.8	"
2015-02-06," 	47.6	"
2015-02-07," 	15.9	"
2015-02-08," 	5.2	"
2015-02-09," 	6.9	"
2015-02-10," 	7.9	"
2015-02-11," 	9.3	"
2015-02-12," 	34.5	"
2015-02-13," 	58.0	"
2015-02-14," 	71.0	"
2015-02-15," 	74.9	"
2015-02-16," 	33.1	"
2015-02-17," 	42.6	"
2015-02-18," 	32.8	"
2015-02-19," 	25.8	"
2015-02-20," 	34.8	"
2015-02-21," 	14.2	"
2015-02-22," 	12.7	"
2015-02-23," 	19.3	"
2015-02-24," 	16.6	"
2015-02-25," 	32.4	"
2015-02-26," 	37.5	"
2015-02-27," 	51.7	"
2015-02-28," 	30.2	"
2015-03-01," 	12.2	"
2015-03-02," 	7.8	"
2015-03-03," 	6.6	"
2015-03-04," 	10.0	"
2015-03-05," 	13.9	"
2015-03-06," 	13.4	"
2015-03-07," 	26.7	"
2015-03-08," 	16.9	"
2015-03-09," 	28.7	"
2015-03-10," 	30.6	"
2015-03-11," 	13.0	"
2015-03-12," 	9.3	"
2015-03-13," 	14.4	"
2015-03-14," 	24.8	"
2015-03-15," 	15.9	"
2015-03-16," 	30.9	"
2015-03-17," 	26.4	"
2015-03-18," 	30.2	"
2015-03-19," 	58.3	"
2015-03-20," 	50.9	"
2015-03-21," 	38.5	"
2015-03-22," 	8.6	"
2015-03-23," 	22.3	"
2015-03-24," 	50.0	"
2015-03-25," 	53.2	"
2015-03-26," 	47.7	"
2015-03-27," 	20.3	"
2015-03-28," 	21.8	"
2015-03-29," 	12.2	"
2015-03-30," 	3.4	"
2015-03-31," 	4.9	"
2015-04-01," 	4.2	"
2015-04-02," 	4.6	"
2015-04-03," 	6.4	"
2015-04-04," 	7.6	"
2015-04-05," 	8.6	"
2015-04-06," 	8.4	"
2015-04-07," 	14.2	"
2015-04-08," 	11.5	"
2015-04-09," 	21.0	"
2015-04-10," 	33.4	"
2015-04-11," 	22.8	"
2015-04-12," 	5.6	"
2015-04-13," 	10.8	"
2015-04-14," 	9.6	"
2015-04-15," 	12.0	"
2015-04-16," 	6.9	"
2015-04-17," 	7.1	"
2015-04-18," 	5.7	"
2015-04-19," 	9.0	"
2015-04-20," 	9.3	"
2015-04-21," 	12.0	"
2015-04-22," 	15.9	"
2015-04-23," 	11.2	"
2015-04-24," 	17.2	"
2015-04-25," 	19.6	"
2015-04-26," 	18.4	"
2015-04-27," 	11.2	"
2015-04-28," 	8.0	"
