Column1,Column2
Zanieczyszczenie,Toruñ POLICJA - py³ zawieszony PM2.5
2015-01-01," 	23.7	"
2015-01-02," 	9.5	"
2015-01-03," 	6.3	"
2015-01-04," 	3.9	"
2015-01-05," 	7.4	"
2015-01-06," 	14.6	"
2015-01-07," 	23.9	"
2015-01-08," 	28.5	"
2015-01-09," 	6.9	"
2015-01-10," 	4.1	"
2015-01-11," 	4.6	"
2015-01-12," 	6.4	"
2015-01-13," 	7.6	"
2015-01-14," 	10.7	"
2015-01-15," 	14.8	"
2015-01-16," 	24.6	"
2015-01-17," 	36.6	"
2015-01-18," 	41.7	"
2015-01-19," 	33.8	"
2015-01-20," 	18.2	"
2015-01-21," 	27.5	"
2015-01-22," 	39.5	"
2015-01-23," 	27.5	"
2015-01-24," 	26.0	"
2015-01-25," 	22.2	"
2015-01-26," 	25.3	"
2015-01-27," 	13.5	"
2015-01-28," 	15.2	"
2015-01-29," 	22.4	"
2015-01-30," 	24.0	"
2015-01-31," 	26.0	"
2015-02-01," 	21.4	"
2015-02-02," 	12.7	"
2015-02-03," 	11.1	"
2015-02-04," 	29.2	"
2015-02-05," 	83.1	"
2015-02-06," 	36.0	"
2015-02-07," 	21.1	"
2015-02-08," 	3.3	"
2015-02-09," 	11.9	"
2015-02-10," 	11.9	"
2015-02-11," 	14.4	"
2015-02-12," 	49.6	"
2015-02-13," 	91.5	"
2015-02-14," 	75.3	"
2015-02-15," 	63.3	"
2015-02-16," 	9.7	"
2015-02-17," 	19.6	"
2015-02-18," 	57.8	"
2015-02-19," 	36.0	"
2015-02-20," 	58.2	"
2015-02-21," 	43.2	"
2015-02-22," 	31.0	"
2015-02-23," 	51.3	"
2015-02-24," 	31.5	"
2015-02-25," 	58.3	"
2015-02-26," 	55.4	"
2015-02-27," 	40.3	"
2015-02-28," 	39.3	"
2015-03-01," 	34.0	"
2015-03-02," 	14.9	"
2015-03-03," 	11.3	"
2015-03-04," 	11.1	"
2015-03-05," 	13.8	"
2015-03-06," 	24.7	"
2015-03-07," 	27.2	"
2015-03-08," 	28.3	"
2015-03-09," 	23.8	"
2015-03-10," 	54.1	"
2015-03-11," 	13.7	"
2015-03-12," 	13.9	"
2015-03-13," 	16.2	"
2015-03-14," 	15.3	"
2015-03-15," 	14.1	"
2015-03-16," 	19.4	"
2015-03-17," 	18.2	"
2015-03-18," 	40.9	"
2015-03-19," 	65.5	"
2015-03-20," 	81.4	"
2015-03-21," 	53.7	"
2015-03-22," 	14.9	"
2015-03-23," 	36.0	"
2015-03-24," 	62.5	"
2015-03-25," 	58.0	"
2015-03-26," 	43.4	"
2015-03-27," 	27.4	"
2015-03-28," 	41.7	"
2015-03-29," 	35.2	"
2015-03-30," 	3.5	"
2015-03-31," 	4.6	"
2015-04-01," 	4.0	"
2015-04-02," 	10.2	"
2015-04-03," 	10.8	"
2015-04-04," 	14.3	"
2015-04-05," 	4.9	"
2015-04-06," 	7.7	"
2015-04-07," 	12.9	"
2015-04-08," 	10.2	"
2015-04-09," 	17.3	"
2015-04-10," 	38.6	"
2015-04-11," 	44.3	"
2015-04-12," 	7.4	"
2015-04-13," 	11.2	"
2015-04-14," 	7.9	"
2015-04-15," 	18.9	"
2015-04-16," 	7.4	"
2015-04-17," 	5.7	"
2015-04-18," 	7.6	"
2015-04-19," 	4.3	"
2015-04-20," 	7.3	"
2015-04-21," 	13.0	"
2015-04-22," 	10.9	"
2015-04-23," 	11.4	"
2015-04-24," 	23.0	"
2015-04-25," 	32.9	"
2015-04-26," 	11.5	"
2015-04-27," 	6.9	"
2015-04-28," 	5.9	"
2015-04-29," 	15.1	"
2015-04-30," 	18.7	"
2015-05-01," 	14.8	"
2015-05-02," 	9.9	"
2015-05-03," 	16.6	"
2015-05-04," 	16.1	"
2015-05-05," 	18.6	"
2015-05-06," 	8.9	"
2015-05-07," 	8.4	"
2015-05-08," 	18.2	"
2015-05-09," 	17.2	"
2015-05-10," 	5.7	"
2015-05-11," 	7.1	"
2015-05-12," 	9.6	"
2015-05-13," 	5.7	"
2015-05-14," 	6.7	"
2015-05-15," 	7.0	"
2015-05-16," 	9.8	"
2015-05-17," 	7.5	"
2015-05-18," 	8.0	"
2015-05-19," 	13.8	"
2015-05-20," 	11.9	"
2015-05-21," 	6.6	"
2015-05-22," 	9.6	"
2015-05-23," 	14.7	"
2015-05-24," 	5.9	"
2015-05-25," 	15.5	"
2015-05-26," 	11.5	"
2015-05-27," 	5.4	"
2015-05-28," 	8.2	"
2015-05-29," 	9.3	"
2015-05-30," 	9.9	"
2015-05-31," 	6.7	"
2015-06-01," 	9.3	"
2015-06-02," 	7.0	"
2015-06-03," 	9.8	"
2015-06-04," 	7.2	"
2015-06-05," 	5.8	"
2015-06-06," 	10.3	"
2015-06-07," 	7.6	"
2015-06-08," 	7.6	"
2015-06-09," 	3.6	"
2015-06-10," 	6.5	"
2015-06-11," 	6.3	"
2015-06-12," 	18.4	"
2015-06-13," 	17.2	"
2015-06-14," 	13.7	"
2015-06-15," 	5.4	"
2015-06-16," 	5.2	"
2015-06-17," 	6.4	"
2015-06-18," 	9.1	"
2015-06-19," 	6.0	"
2015-06-20," 	4.9	"
2015-06-21," 	4.7	"
2015-06-22," 	7.0	"
2015-06-23," 	3.2	"
2015-06-24," 	5.3	"
2015-06-25," 	8.1	"
2015-06-26," 	12.7	"
2015-06-27," 	9.6	"
2015-06-28," 	13.3	"
2015-06-29," 	7.9	"
2015-06-30," 	10.5	"
2015-07-01," 	7.1	"
2015-07-02," 	6.5	"
2015-07-03," 	8.2	"
2015-07-04," 	13.1	"
2015-07-05," 	19.2	"
2015-07-06," 	14.0	"
2015-07-07," 	10.0	"
2015-07-08," 	8.9	"
2015-07-09," 	5.5	"
2015-07-10," 	2.6	"
2015-07-11," 	3.0	"
2015-07-12," 	6.5	"
2015-07-13," 	6.8	"
2015-07-14," 	7.0	"
2015-07-15," 	5.5	"
2015-07-16," 	8.1	"
2015-07-17," 	8.2	"
2015-07-18," 	11.4	"
2015-07-19," 	8.6	"
2015-07-20," 	5.7	"
2015-07-21," 	9.0	"
2015-07-22," 	9.7	"
2015-07-23," 	6.4	"
2015-07-24," 	10.8	"
2015-07-25," 	11.0	"
2015-07-26," 	4.2	"
2015-07-27," 	8.7	"
2015-07-28," 	6.2	"
2015-07-29," 	6.6	"
2015-07-30," 	4.2	"
2015-07-31," 	4.7	"
2015-08-01," 	9.8	"
2015-08-02," 	11.4	"
2015-08-03," 	19.4	"
2015-08-04," 	23.1	"
