Column1,Column2
Zanieczyszczenie,Warszawa-Targówek - py³ zawieszony PM2.5
2015-01-01," 	27.9	"
2015-01-02," 	16.3	"
2015-01-03," 	9.4	"
2015-01-04," 	6.9	"
2015-01-05," 	8.7	"
2015-01-06," 	21.2	"
2015-01-07," 	22.3	"
2015-01-08," 	49.2	"
2015-01-09," 	15.1	"
2015-01-10," 	13.1	"
2015-01-11," 	11.2	"
2015-01-12," 	12.3	"
2015-01-13," 	11.8	"
2015-01-14," 	17.1	"
2015-01-15," 	22.7	"
2015-01-16," 	29.6	"
2015-01-17," 	40.5	"
2015-01-18," 	71.0	"
2015-01-19," 	63.6	"
2015-01-20," 	22.0	"
2015-01-21," 	44.5	"
2015-01-22," 	38.6	"
2015-01-23," 	19.2	"
2015-01-24," 	28.8	"
2015-01-25," 	33.4	"
2015-01-26," 	41.9	"
2015-01-27," 	35.9	"
2015-01-28," 	19.4	"
2015-01-29," 	26.1	"
2015-01-30," 	27.6	"
2015-01-31," 	24.9	"
2015-02-01," 	29.9	"
2015-02-02," 	67.4	"
2015-02-03," 	55.7	"
2015-02-04," 	70.0	"
2015-02-05," 	62.2	"
2015-02-06," 	36.6	"
2015-02-07," 	36.5	"
2015-02-08," 	6.5	"
2015-02-09," 	20.9	"
2015-02-10," 	29.2	"
2015-02-11," 	22.5	"
2015-02-12," 	34.5	"
2015-02-13," 	57.7	"
2015-02-14," 	66.4	"
2015-02-15," 	60.1	"
2015-02-16," 	13.8	"
2015-02-17," 	15.6	"
2015-02-18," 	55.3	"
2015-02-19," 	45.4	"
2015-02-20," 	63.0	"
2015-02-21," 	58.4	"
2015-02-22," 	65.5	"
2015-02-23," 	71.7	"
2015-02-24," 	35.9	"
2015-02-25," 	50.1	"
2015-02-26," 	37.6	"
2015-02-27," 	51.2	"
2015-02-28," 	82.7	"
2015-03-01," 	57.3	"
2015-03-02," 	17.6	"
2015-03-03," 	16.9	"
2015-03-04," 	18.9	"
2015-03-05," 	35.6	"
2015-03-06," 	34.1	"
2015-03-07," 	38.6	"
2015-03-08," 	35.6	"
