Column1,Column2
Zanieczyszczenie,Wroc³aw - Na Grobli - py³ zawieszony PM2.5
2015-01-01," 	44.2	"
2015-01-02," 	21.4	"
2015-01-03," 	15.2	"
2015-01-04," 	8.9	"
2015-01-05," 	13.8	"
2015-01-06," 	29.7	"
2015-01-07," 	60.7	"
2015-01-08," 	31.4	"
2015-01-09," 	8.0	"
2015-01-10," 	8.9	"
2015-01-11,
2015-01-12,
2015-01-13," 	10.5	"
2015-01-14," 	13.1	"
2015-01-15," 	13.6	"
2015-01-16," 	31.6	"
2015-01-17," 	41.5	"
2015-01-18," 	36.3	"
2015-01-19," 	29.7	"
2015-01-20," 	64.6	"
2015-01-21," 	45.0	"
2015-01-22," 	47.5	"
2015-01-23," 	49.7	"
2015-01-24," 	29.0	"
2015-01-25," 	22.8	"
2015-01-26," 	22.8	"
2015-01-27," 	15.4	"
2015-01-28," 	15.0	"
2015-01-29," 	14.3	"
2015-01-30," 	17.2	"
2015-01-31," 	21.0	"
2015-02-01," 	25.9	"
2015-02-02," 	33.4	"
2015-02-03," 	26.2	"
2015-02-04," 	27.2	"
2015-02-05," 	45.4	"
2015-02-06," 	37.0	"
2015-02-07," 	36.4	"
2015-02-08," 	8.3	"
2015-02-09," 	9.2	"
2015-02-10," 	12.0	"
2015-02-11," 	22.3	"
2015-02-12," 	23.8	"
2015-02-13," 	37.5	"
2015-02-14," 	43.1	"
2015-02-15," 	64.7	"
2015-02-16," 	34.4	"
2015-02-17," 	42.8	"
2015-02-18," 	59.3	"
2015-02-19," 	75.4	"
2015-02-20," 	63.0	"
2015-02-21," 	49.3	"
2015-02-22," 	56.8	"
2015-02-23," 	47.7	"
2015-02-24," 	34.5	"
2015-02-25," 	32.1	"
2015-02-26," 	43.7	"
2015-02-27," 	63.1	"
2015-02-28," 	34.8	"
2015-03-01," 	33.1	"
2015-03-02," 	14.8	"
2015-03-03," 	15.4	"
2015-03-04," 	13.5	"
2015-03-05," 	17.5	"
2015-03-06," 	25.2	"
2015-03-07," 	38.3	"
2015-03-08," 	27.3	"
2015-03-09," 	33.2	"
2015-03-10," 	57.9	"
2015-03-11," 	19.5	"
2015-03-12," 	21.4	"
2015-03-13," 	23.7	"
2015-03-14," 	23.4	"
2015-03-15," 	27.2	"
2015-03-16," 	26.2	"
2015-03-17," 	24.5	"
2015-03-18," 	26.6	"
2015-03-19," 	48.7	"
2015-03-20," 	54.8	"
2015-03-21," 	63.1	"
2015-03-22," 	13.6	"
2015-03-23," 	37.4	"
2015-03-24," 	57.1	"
2015-03-25," 	49.4	"
2015-03-26," 	33.3	"
2015-03-27," 	34.4	"
2015-03-28," 	26.4	"
2015-03-29," 	25.4	"
2015-03-30," 	5.6	"
2015-03-31," 	6.7	"
2015-04-01," 	14.8	"
2015-04-02," 	7.9	"
2015-04-03," 	8.5	"
2015-04-04," 	7.9	"
2015-04-05," 	10.9	"
2015-04-06," 	13.7	"
2015-04-07," 	18.0	"
2015-04-08," 	13.8	"
2015-04-09," 	22.0	"
2015-04-10," 	39.5	"
2015-04-11," 	28.9	"
2015-04-12," 	12.2	"
2015-04-13," 	15.9	"
2015-04-14," 	12.9	"
2015-04-15," 	17.3	"
2015-04-16," 	13.9	"
2015-04-17," 	10.7	"
2015-04-18," 	9.3	"
2015-04-19," 	10.1	"
2015-04-20," 	14.4	"
2015-04-21," 	21.4	"
2015-04-22," 	16.9	"
2015-04-23," 	21.0	"
2015-04-24," 	25.0	"
2015-04-25," 	19.4	"
2015-04-26," 	10.8	"
2015-04-27," 	12.9	"
