Column1,Column2
Zanieczyszczenie,Zielona Góra ul. Krótka - py³ zawieszony PM2.5
2015-01-01," 	28.6	"
2015-01-02," 	11.0	"
2015-01-03," 	11.6	"
2015-01-04," 	9.9	"
2015-01-05," 	10.8	"
2015-01-06," 	18.3	"
2015-01-07," 	24.4	"
2015-01-08," 	20.3	"
2015-01-09," 	9.2	"
2015-01-10," 	7.0	"
2015-01-11," 	9.1	"
2015-01-12," 	7.1	"
2015-01-13," 	8.7	"
2015-01-14," 	9.2	"
2015-01-15," 	12.4	"
2015-01-16," 	31.4	"
2015-01-17," 	31.1	"
2015-01-18," 	40.0	"
2015-01-19," 	36.1	"
2015-01-20," 	52.7	"
2015-01-21," 	32.8	"
2015-01-22," 	49.4	"
2015-01-23," 	30.4	"
2015-01-24," 	36.2	"
2015-01-25," 	31.3	"
2015-01-26," 	25.3	"
2015-01-27," 	12.8	"
2015-01-28," 	15.7	"
2015-01-29," 	12.1	"
2015-01-30," 	18.1	"
2015-01-31," 	14.6	"
2015-02-01," 	20.7	"
2015-02-02," 	20.1	"
2015-02-03," 	19.6	"
2015-02-04," 	18.7	"
2015-02-05," 	38.6	"
2015-02-06," 	40.4	"
2015-02-07," 	23.0	"
2015-02-08," 	14.1	"
2015-02-09," 	11.4	"
2015-02-10," 	13.7	"
2015-02-11," 	16.3	"
2015-02-12," 	32.9	"
2015-02-13," 	41.3	"
2015-02-14," 	58.1	"
2015-02-15," 	55.4	"
2015-02-16," 	44.1	"
2015-02-17," 	46.7	"
2015-02-18," 	52.0	"
2015-02-19," 	46.1	"
2015-02-20," 	43.8	"
2015-02-21," 	32.1	"
2015-02-22," 	20.8	"
2015-02-23," 	35.0	"
2015-02-24," 	21.2	"
2015-02-25," 	30.8	"
2015-02-26," 	34.2	"
2015-02-27," 	61.7	"
2015-02-28," 	27.6	"
2015-03-01," 	28.3	"
2015-03-02," 	14.8	"
2015-03-03," 	13.2	"
2015-03-04," 	15.2	"
2015-03-05," 	21.9	"
2015-03-06," 	26.6	"
2015-03-07," 	29.7	"
2015-03-08," 	22.6	"
2015-03-09," 	22.3	"
2015-03-10," 	35.1	"
2015-03-11," 	22.9	"
2015-03-12," 	20.9	"
2015-03-13," 	23.4	"
2015-03-14," 	30.4	"
2015-03-15," 	24.4	"
2015-03-16," 	31.9	"
2015-03-17," 	26.7	"
2015-03-18," 	25.4	"
2015-03-19," 	39.9	"
2015-03-20," 	45.8	"
2015-03-21," 	48.1	"
2015-03-22," 	9.2	"
2015-03-23," 	31.7	"
2015-03-24," 	39.6	"
2015-03-25," 	51.6	"
2015-03-26," 	42.4	"
2015-03-27," 	26.4	"
2015-03-28," 	27.1	"
2015-03-29," 	20.7	"
2015-03-30," 	6.2	"
2015-03-31," 	8.2	"
2015-04-01," 	6.2	"
2015-04-02," 	8.6	"
2015-04-03," 	11.6	"
2015-04-04," 	10.4	"
2015-04-05," 	9.9	"
2015-04-06," 	12.1	"
2015-04-07," 	14.6	"
2015-04-08," 	15.4	"
2015-04-09," 	15.4	"
2015-04-10," 	23.3	"
2015-04-11," 	18.7	"
2015-04-12," 	8.3	"
2015-04-13," 	9.9	"
2015-04-14," 	11.8	"
2015-04-15," 	11.4	"
2015-04-16," 	12.3	"
2015-04-17," 	11.7	"
2015-04-18," 	8.4	"
2015-04-19," 	10.7	"
2015-04-20," 	9.2	"
2015-04-21," 	10.8	"
2015-04-22," 	16.6	"
2015-04-23," 	12.7	"
2015-04-24," 	15.8	"
2015-04-25," 	15.8	"
2015-04-26," 	11.8	"
2015-04-27," 	12.6	"
2015-04-28," 	8.7	"
2015-04-29," 	8.6	"
2015-04-30," 	14.0	"
2015-05-01," 	9.8	"
2015-05-02," 	11.6	"
2015-05-03," 	12.9	"
2015-05-04," 	11.2	"
2015-05-05," 	15.3	"
2015-05-06," 	10.1	"
2015-05-07," 	10.3	"
2015-05-08," 	10.3	"
2015-05-09," 	11.4	"
2015-05-10," 	6.4	"
2015-05-11," 	10.4	"
2015-05-12," 	14.2	"
2015-05-13," 	7.9	"
2015-05-14," 	9.7	"
2015-05-15," 	10.7	"
2015-05-16," 	14.4	"
2015-05-17," 	11.0	"
2015-05-18," 	16.0	"
2015-05-19," 	16.0	"
2015-05-20," 	14.0	"
2015-05-21," 	14.9	"
